CustomerID,Recency,Frequency,Monetary,Cluster
12346,326,1,77183.6,0
12747,3,11,4196.01,0
12748,1,209,33719.73,0
12749,4,5,4090.88,0
12820,4,4,942.34,1
12821,215,1,92.72,2
12822,71,2,948.88,1
12823,75,5,1759.5,0
12824,60,1,397.12,1
12826,3,7,1474.72,0
12827,6,3,430.15000000000003,1
12828,3,6,1018.71,0
12829,337,2,293.0,2
12830,38,6,6814.64,0
12831,263,1,215.05,2
12832,33,2,383.03,1
12833,146,1,417.38,1
12834,283,1,312.38,2
12836,60,4,2612.86,0
12837,174,1,134.1,2
12838,34,2,683.13,1
12839,3,14,5591.42,0
12840,144,4,2726.77,0
12841,5,25,4022.35,0
12842,71,2,1118.99,1
12843,66,8,1702.26,0
12844,30,2,325.96000000000004,1
12845,268,4,354.09,2
12847,23,1,871.54,1
12849,32,2,1050.8899999999999,1
12851,97,1,135.18,1
12852,295,1,311.55,2
12853,135,6,1957.1000000000001,0
12854,79,3,1324.5,1
12855,373,1,38.1,2
12856,8,6,2179.93,0
12857,211,2,1106.4,2
12863,53,1,521.2,1
12864,139,1,147.12,2
12867,27,7,4036.82,0
12868,186,6,1607.0600000000002,0
12871,85,2,380.64,1
12872,327,2,599.97,2
12873,283,1,374.0,2
12875,144,2,343.2300000000001,1
12877,4,12,1535.77,0
12878,237,2,854.99,2
12879,45,3,573.22,1
12881,276,1,298.0,2
12882,10,2,1463.04,1
12883,25,4,703.47,1
12884,89,1,309.05,1
12885,64,3,1175.22,1
12886,68,2,1378.4,1
12888,215,2,354.12,2
12890,25,1,380.46999999999997,1
12891,186,3,331.0,2
12893,31,1,188.14,1
12895,43,2,372.8,1
12897,205,2,216.5,2
12901,9,28,17654.54,0
12902,265,1,138.68,2
12904,19,2,509.58,1
12906,12,5,2919.81,0
12908,177,2,750.0,2
12909,40,5,2178.67,0
12910,24,8,3075.04,0
12912,3,5,1662.3,0
12913,5,5,2483.63,0
12915,149,2,363.65,1
12916,139,4,3006.15,0
12917,129,1,594.0,1
12919,9,6,1335.19,0
12920,18,1,164.23,1
12921,10,37,16587.09,0
12922,162,1,405.38,2
12923,65,1,176.97,1
12924,89,4,933.7,1
12925,5,2,694.05,1
12928,36,5,2062.7000000000003,0
12929,312,1,117.85,2
12930,79,2,415.8,1
12931,22,15,42055.96,0
12933,25,3,607.53,1
12935,3,7,2160.7,0
12936,18,4,1063.9,0
12937,16,4,1504.27,0
12938,26,1,114.14,1
12939,65,8,11581.8,0
12940,55,2,913.54,1
12942,132,3,683.9,1
12944,36,2,604.51,1
12945,289,1,462.95,2
12947,144,6,1603.99,0
12948,17,7,2064.95,0
12949,31,8,4167.22,0
12950,3,3,1843.0,0
12951,9,6,1064.07,0
12952,6,4,1387.79,0
12953,10,1,329.85,1
12955,2,11,4757.16,0
12956,307,1,108.07,2
12957,10,8,4017.54,0
12962,8,2,266.39,1
12963,9,8,1856.63,0
12965,90,1,771.91,1
12966,10,1,160.18,1
12967,359,2,1660.9,2
12968,113,1,135.95,1
12970,8,4,452.24,1
12971,4,86,11189.91,0
12974,198,1,144.8,2
12976,212,1,738.6,2
12977,157,1,39.239999999999995,2
12980,158,9,7374.900000000001,0
12981,30,2,372.21999999999997,1
12982,243,1,390.54,2
12984,19,1,97.5,1
12985,1,2,1239.38,1
12987,74,2,558.7,1
12988,293,1,535.32,2
12989,4,15,6924.110000000001,0
12990,32,3,409.5,1
12991,24,2,503.76,1
12993,24,4,414.76,1
12994,5,3,974.4200000000001,1
12995,86,1,211.32,1
12997,23,4,1226.89,0
12999,197,3,455.88,2
13000,107,3,534.85,1
13001,5,13,9818.82,0
13002,319,1,120.94999999999999,2
13003,106,3,149.05,1
13004,12,18,5655.91,0
13005,174,2,513.7,2
13006,57,1,81.57,1
13008,324,1,229.46999999999997,2
13011,373,1,50.550000000000004,2
13012,10,8,1661.8400000000001,0
13013,2,13,4810.9400000000005,0
13014,11,10,3466.2799999999997,0
13015,54,5,3346.28,0
13016,74,3,789.89,1
13017,8,1,204.0,1
13018,17,28,7277.7,0
13021,5,9,2616.38,0
13023,65,2,689.9,1
13026,2,5,975.36,0
13027,114,6,6912.0,0
13028,23,2,661.3199999999999,1
13029,31,3,1247.5,1
13030,12,2,799.48,1
13032,53,2,1010.18,1
13033,358,1,190.55,2
13034,55,2,642.77,1
13035,74,2,921.88,1
13037,139,3,881.07,1
13038,81,3,908.46,1
13040,9,2,676.99,1
13043,274,1,516.42,2
13044,292,1,560.47,2
13045,100,1,305.28000000000003,1
13046,31,2,629.31,1
13047,32,10,3237.54,0
13048,15,4,1835.91,0
13049,65,2,656.6800000000001,1
13050,15,17,5836.86,0
13052,213,1,348.15000000000003,2
13055,79,3,1214.41,1
13058,25,3,271.40000000000003,1
13059,250,1,183.4,2
13060,254,1,307.53,2
13061,73,1,248.61,1
13062,192,1,346.98,2
13064,13,4,1119.49,0
13065,374,1,205.86,2
13066,25,2,470.8,1
13067,83,1,115.46000000000001,1
